层次	专业大类	专业类	专业名称及代码	官方链接	预期字节数	本地相对路径
高职专科	装备制造大类	航空装备类	460607 飞行器维修技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527324936581.pdf	363019	高职专科/装备制造大类/航空装备类/460607_飞行器维修技术.pdf
高职专科	装备制造大类	航空装备类	460609 无人机应用技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527168340391.pdf	341663	高职专科/装备制造大类/航空装备类/460609_无人机应用技术.pdf
高职专科	装备制造大类	机电设备类	460201 智能制造装备技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jdsbl/202502/P020250207523132834023.pdf	351333	高职专科/装备制造大类/机电设备类/460201_智能制造装备技术.pdf
高职专科	装备制造大类	机电设备类	460202 机电设备技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jdsbl/202502/P020250207522977570730.pdf	348140	高职专科/装备制造大类/机电设备类/460202_机电设备技术.pdf
高职专科	装备制造大类	机电设备类	460203 电机与电器技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jdsbl/202502/P020250207522795244144.pdf	351615	高职专科/装备制造大类/机电设备类/460203_电机与电器技术.pdf
高职专科	装备制造大类	机电设备类	460204 新能源装备技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jdsbl/202502/P020250207522651602718.pdf	340602	高职专科/装备制造大类/机电设备类/460204_新能源装备技术.pdf
高职专科	装备制造大类	机电设备类	460206 电梯工程技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jdsbl/202502/P020250207522521063992.pdf	336771	高职专科/装备制造大类/机电设备类/460206_电梯工程技术.pdf
高职专科	装备制造大类	机械设计制造类	460101 机械设计与制造	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207522292941420.pdf	347741	高职专科/装备制造大类/机械设计制造类/460101_机械设计与制造.pdf
高职专科	装备制造大类	机械设计制造类	460102 数字化设计与制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207522150759734.pdf	342005	高职专科/装备制造大类/机械设计制造类/460102_数字化设计与制造技术.pdf
高职专科	装备制造大类	机械设计制造类	460103 数控技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207522001246931.pdf	348531	高职专科/装备制造大类/机械设计制造类/460103_数控技术.pdf
高职专科	装备制造大类	机械设计制造类	460104 机械制造及自动化	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207521767506887.pdf	348848	高职专科/装备制造大类/机械设计制造类/460104_机械制造及自动化.pdf
高职专科	装备制造大类	机械设计制造类	460105 工业设计	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207521569193404.pdf	334855	高职专科/装备制造大类/机械设计制造类/460105_工业设计.pdf
高职专科	装备制造大类	机械设计制造类	460107 材料成型及控制技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207521406183473.pdf	351646	高职专科/装备制造大类/机械设计制造类/460107_材料成型及控制技术.pdf
高职专科	装备制造大类	机械设计制造类	460110 智能焊接技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207521217866718.pdf	352134	高职专科/装备制造大类/机械设计制造类/460110_智能焊接技术.pdf
高职专科	装备制造大类	机械设计制造类	460111 工业材料表面处理技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207521005981440.pdf	354697	高职专科/装备制造大类/机械设计制造类/460111_工业材料表面处理技术.pdf
高职专科	装备制造大类	机械设计制造类	460112 增材制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207520781405987.pdf	349777	高职专科/装备制造大类/机械设计制造类/460112_增材制造技术.pdf
高职专科	装备制造大类	机械设计制造类	460113 模具设计与制造	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207520582247179.pdf	346172	高职专科/装备制造大类/机械设计制造类/460113_模具设计与制造.pdf
高职专科	装备制造大类	机械设计制造类	460114 特种加工技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207520260036526.pdf	346206	高职专科/装备制造大类/机械设计制造类/460114_特种加工技术.pdf
高职专科	装备制造大类	机械设计制造类	460115 智能光电制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207519990535107.pdf	341055	高职专科/装备制造大类/机械设计制造类/460115_智能光电制造技术.pdf
高职专科	装备制造大类	机械设计制造类	460116 电线电缆制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207519322488900.pdf	356261	高职专科/装备制造大类/机械设计制造类/460116_电线电缆制造技术.pdf
高职专科	装备制造大类	机械设计制造类	460118 机械装备制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207518953377554.pdf	348705	高职专科/装备制造大类/机械设计制造类/460118_机械装备制造技术.pdf
高职专科	装备制造大类	机械设计制造类	460119 工业产品质量检测技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207518583988209.pdf	325920	高职专科/装备制造大类/机械设计制造类/460119_工业产品质量检测技术.pdf
高职专科	装备制造大类	机械设计制造类	460120 理化测试与质检技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_jxsjzzl/202502/P020250207518345526728.pdf	348055	高职专科/装备制造大类/机械设计制造类/460120_理化测试与质检技术.pdf
高职专科	装备制造大类	汽车制造类	460701 汽车制造与试验技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_qczzl/202502/P020250207528835215404.pdf	339623	高职专科/装备制造大类/汽车制造类/460701_汽车制造与试验技术.pdf
高职专科	装备制造大类	汽车制造类	460702 新能源汽车技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_qczzl/202502/P020250207528684826334.pdf	360180	高职专科/装备制造大类/汽车制造类/460702_新能源汽车技术.pdf
高职专科	装备制造大类	汽车制造类	460703 汽车电子技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_qczzl/202502/P020250207528543453836.pdf	348021	高职专科/装备制造大类/汽车制造类/460703_汽车电子技术.pdf
高职专科	装备制造大类	汽车制造类	460704 智能网联汽车技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_qczzl/202502/P020250207528412902948.pdf	359654	高职专科/装备制造大类/汽车制造类/460704_智能网联汽车技术.pdf
高职专科	装备制造大类	汽车制造类	460705 汽车造型与改装技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_qczzl/202502/P020250207528238489234.pdf	356898	高职专科/装备制造大类/汽车制造类/460705_汽车造型与改装技术.pdf
高职专科	生物与化工大类	生物技术类	470101 食品生物技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207520998255022.pdf	360076	高职专科/生物与化工大类/生物技术类/470101_食品生物技术.pdf
高职专科	生物与化工大类	生物技术类	470102 药品生物技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207521381867895.pdf	350341	高职专科/生物与化工大类/生物技术类/470102_药品生物技术.pdf
高职专科	生物与化工大类	生物技术类	470103 农业生物技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207521853674028.pdf	354909	高职专科/生物与化工大类/生物技术类/470103_农业生物技术.pdf
高职专科	生物与化工大类	生物技术类	470105 生物产品检验检疫	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207522188890652.pdf	350005	高职专科/生物与化工大类/生物技术类/470105_生物产品检验检疫.pdf
高职专科	生物与化工大类	生物技术类	470106 绿色生物制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_swjsl/202502/P020250207522505889646.pdf	344068	高职专科/生物与化工大类/生物技术类/470106_绿色生物制造技术.pdf
