层次	专业名称及代码	预期字节数	实际字节数	PDF文件头	状态	本地相对路径
高职专科	500112 铁道交通运营管理	339698	339698	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500112_铁道交通运营管理.pdf
高职专科	500113 高速铁路客运服务	343609	343609	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500113_高速铁路客运服务.pdf
高职专科	500201 道路与桥梁工程技术	361115	361115	%PDF-	OK	高职专科/交通运输大类/道路运输类/500201_道路与桥梁工程技术.pdf
高职专科	500203 智能工程机械运用技术	342274	342274	%PDF-	OK	高职专科/交通运输大类/道路运输类/500203_智能工程机械运用技术.pdf
高职专科	500204 道路工程检测技术	353357	353357	%PDF-	OK	高职专科/交通运输大类/道路运输类/500204_道路工程检测技术.pdf
高职专科	500205 道路工程造价	353785	353785	%PDF-	OK	高职专科/交通运输大类/道路运输类/500205_道路工程造价.pdf
高职专科	500207 智能交通技术	348267	348267	%PDF-	OK	高职专科/交通运输大类/道路运输类/500207_智能交通技术.pdf
高职专科	500208 道路运输管理	333174	333174	%PDF-	OK	高职专科/交通运输大类/道路运输类/500208_道路运输管理.pdf
高职专科	500209 交通运营管理	345702	345702	%PDF-	OK	高职专科/交通运输大类/道路运输类/500209_交通运营管理.pdf
高职专科	500210 汽车技术服务与营销	346356	346356	%PDF-	OK	高职专科/交通运输大类/道路运输类/500210_汽车技术服务与营销.pdf
高职专科	500211 汽车检测与维修技术	346928	346928	%PDF-	OK	高职专科/交通运输大类/道路运输类/500211_汽车检测与维修技术.pdf
高职专科	500212 新能源汽车检测与维修技术	350672	350672	%PDF-	OK	高职专科/交通运输大类/道路运输类/500212_新能源汽车检测与维修技术.pdf
高职专科	500701 邮政快递运营管理	346315	346315	%PDF-	OK	高职专科/交通运输大类/邮政类/500701_邮政快递运营管理.pdf
高职专科	500702 邮政快递智能技术	345029	345029	%PDF-	OK	高职专科/交通运输大类/邮政类/500702_邮政快递智能技术.pdf
高职专科	570101K 早期教育	349361	349361	%PDF-	OK	高职专科/教育与体育大类/教育类/570101K_早期教育.pdf
高职专科	570102K 学前教育	339755	339755	%PDF-	OK	高职专科/教育与体育大类/教育类/570102K_学前教育.pdf
高职专科	570103K 小学教育	335389	335389	%PDF-	OK	高职专科/教育与体育大类/教育类/570103K_小学教育.pdf
高职专科	570104K 小学语文教育	345433	345433	%PDF-	OK	高职专科/教育与体育大类/教育类/570104K_小学语文教育.pdf
高职专科	570105K 小学数学教育	338346	338346	%PDF-	OK	高职专科/教育与体育大类/教育类/570105K_小学数学教育.pdf
高职专科	570106K 小学英语教育	338770	338770	%PDF-	OK	高职专科/教育与体育大类/教育类/570106K_小学英语教育.pdf
